"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"3D","19-20","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99,923.15","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99,923.15","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,961.66","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","2","Library sheds/ library maintenance","199,779.78","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","3","Pavement Blocks / Grouting / Laying tiles","199,828.60","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","4","Drainage works","199,809.12","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","5","Drainage works","199,809.12","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","6","Colouring works","199,940.16","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","7","Furniture works, curtains etc.","199,940.16","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","8","Furniture works, curtains etc.","199,831.52","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","1","Mainetnance and cleaning works","199,901.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","2","Building toilets / maintenance etc.","200,000.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","3","Drainage works","177,813.22","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","4","Distributing Dustbins/buckets","199,901.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","5","Drainage works","149,848.26","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","6","Jute bags/ cloth/ canvas bags etc.","178,550.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","7","Colouring works","159,776.57","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174,875.45","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","1","Mainetnance and cleaning works","172,359.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","2","Library sheds/ library maintenance","169,803.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","3","Library sheds/ library maintenance","199,779.78","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","4","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","199,903.76","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","5","Library sheds/ library maintenance","199,841.60","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","6","Cemetory Colouring works","199,951.36","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","7","Cemetory development work","199,924.48","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","8","Cemetory development work","199,903.76","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","9","Market related works","199,841.60","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","1","Furniture works, curtains etc.","199,977.68","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","76,849.32","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","3","Gym / gym equipments","199,607.52","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","4","Furniture works, curtains etc.","199,809.12","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","5","Drainage works","151,713.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","6","Colouring works of library","171,630.00","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","7","Furniture works, curtains etc.","199,977.68","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","8","Drainage works","149,305.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","9","Mandai/market mainetnance and cleaning works","199,977.68","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","10","Mandai/market miscelleneous Development work","199,885.84","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","173,655.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","2","Drainage works","171,610.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","3","Concretization","161,914.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","4","Drainage works","128,464.56","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","5","Cleaning material purchase etc","161,883.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","6","Maintenance and cleaning works","161,861.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","7","Miscelleneous Development work","200,000.00","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","8","Miscelleneous Development work","157,932.00","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","1","Hospital / clinics/ medical facilities","132,115.25","Medical","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155,322.25","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","3","Picking of radar waste","154,208.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155,346.78","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","5","Colouring works","139,658.00","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","6","Drainage works","148,940.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","7","Building toilets / maintenance etc.","149,516.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","8","Picking of radar waste","149,721.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","9","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174,516.64","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","1","Benches","200,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","2","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197,940.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","179,546.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","4","Benches","163,058.39","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","5","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","6","Speed breaker","178,347.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","7","White strips painting on roads","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","8","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","9","Ghanta gadi purchase","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155,322.25","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","3","Drainage works","138,993.94","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","4","Library sheds/ library maintenance","155,987.84","Library","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","5","Mainetnance and cleaning works","154,932.86","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","6","White strips painting on roads","163,872.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","7","White strips painting on roads","158,406.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","8","Drainage works","148,938.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","9","Picking of radar waste","149,721.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","10","Toilet repair and cleaning","148,732.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","11","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","1","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","2","Distribution of scented phenyl and acid","199,971.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","3","Picking of radar waste","197,692.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","4","Drainage works","187,824.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","5","Drainage works","156,799.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","6","Road Concretization","178,395.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,567.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","8","Distribution of masks","195,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","9","Footpaths / pedestrian crossings","200,000.00","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","10","Drainage works","197,622.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","1","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","2","Cleaning material purchase etc","141,627.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","161,706.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","4","Pavement Blocks / Grouting / Laying tiles","161,540.00","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","161,500.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","6","Drainage works","197,825.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","7","Library sheds/ library maintenance","155,370.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","8","Drainage works","160,090.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","1","Water pipelines, repairing etc.","200,000.00","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","2","Water pipelines, repairing etc.","199,735.74","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","3","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","4","Furniture work at library sheds/ library maintenance","199,910.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","5","Library maintenance","199,860.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","6","Sanitizer system installation","199,938.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,892.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,399.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","9","Public dustbins, maintenance, waste disposal facility","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","10","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","1","Fencing / walls / gates","105,000.00","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","149,788.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","3","Drainage works","127,811.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","4","Road Concretization","122,453.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","5","Chamber cleaning","134,010.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","6","Road Concretization","122,267.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","7","Drainage works","110,055.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","8","Water pipelines, repairing etc.","99,117.00","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","77,221.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","10","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","1","Colouring works","142,585.00","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","2","Drainage works","123,628.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","3","Road Concretization","122,414.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","4","Cleaning material purchase etc","131,972.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","5","Drainage works","122,628.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","6","Furniture works, curtains etc.","155,760.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","7","Library sheds/ library maintenance","155,808.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155,716.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","9","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","1","Drainage works","133,272.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","173,718.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","3","Drainage works","133,909.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","134,064.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","5","Distribution of masks","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","6","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","7","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,918.32","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","9","Gym / gym equipments","129,950.00","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","10","Gym / gym equipments","128,910.00","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","11","Distribution of masks","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","1","Building toilets / maintenance etc.","157,899.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","148,314.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","3","Drainage works","120,581.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","4","Cleaning material purchase etc","131,919.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","5","Library sheds/ library maintenance","148,315.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","6","Library sheds/ library maintenance","177,789.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","7","Shed construction","145,729.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","8","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","9","Mainetnance and cleaning works","197,597.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","1","Drainage works","123,242.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","2","Mainetnance and cleaning works","200,000.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","3","gym / gym equipments","148,241.00","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","4","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","5","Hands free wash basin system installation","199,918.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","6","Sanitizer system installation","199,357.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","7","Mainetnance and cleaning works","179,230.00","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","8","Drainage works","199,064.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","1","Sanitizer stand supply","199,350.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","2","Bags","198,987.75","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","3","Building toilets / maintenance etc.","135,605.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","4","Pavement Blocks / Grouting / Laying tiles","144,076.00","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","5","Picking of radar waste","131,103.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","6","Mask distribution","195,500.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","7","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","8","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,618.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199,618.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","1","Sanitizer wash basin system installation","199,316.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","2","Sanitizer wash basin system installation","199,947.55","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","3","Drainage works","199,950.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","4","Mask distribution","195,500.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","5","Toilet repair","199,600.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","6","Toilet repair","199,801.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","7","Drainage related work","199,793.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","8","Drainage works","199,786.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","9","Toilet repair","199,785.30","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","10","Market related works","199,949.00","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","1","Mask purchase","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","2","Mask purchase","195,500.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","3","Bags","198,646.34","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","4","Sanitizer stand purchase","199,305.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","5","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","6","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","7","Hand wash basin sanitizer stand installation","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","8","Installation of direction boards","195,326.61","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","9","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","10","Electrification/new street lights","200,000.00","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","1","Building toilets / maintenance etc.","199,953.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","2","Sanitizer wash basin system installation","199,316.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","3","Sanitizer wash basin system installation","199,938.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","4","Mask purchase","195,500.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","5","Market related works","199,900.00","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","6","Market related works","199,029.00","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","7","Drainage works","199,711.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","8","Drainage works","199,826.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","9","Building toilets / maintenance etc.","199,778.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","10","Picking of radar waste","199,957.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
